topic_id,token_id,token,document_frequency,weight
0,0,prior_condition_mean_adjusted_attention__level_high,2,0.0443595575773
0,1,prior_condition_mean_adjusted_attention__level_low,2,0.00634251424079
0,2,prior_condition_total_adjusted_time__level_high,2,0.025202162753
0,3,prior_condition_total_adjusted_time__level_low,2,0.0443595575773
0,4,prior_control_marker_ratio__level_high,2,0.0443563211124
0,5,prior_control_marker_ratio__level_low,2,0.025262472844
0,6,prior_digit_ratio__level_high,2,0.025262472844
0,7,prior_digit_ratio__level_low,2,0.0443563211124
0,8,prior_mean_complexity__level_low,2,0.0443595575773
0,9,prior_mean_complexity__level_mid,2,0.0251850108245
0,10,prior_mean_message_criticality__level_high,2,0.025262472844
0,11,prior_mean_message_criticality__level_low,2,0.0443563211124
0,12,prior_message_length__level_low,2,0.0443595575773
0,13,prior_message_length__level_mid,2,0.0251850108245
0,14,prior_operator_final_fatigue__level_high,2,0.00634251424079
0,15,prior_operator_final_fatigue__level_low,2,0.0443595575773
0,16,prior_operator_mean_attention__level_high,2,0.0443595575773
0,17,prior_operator_mean_attention__level_low,2,0.00634251424079
0,18,prior_operator_total_effort__level_high,2,0.00634251424079
0,19,prior_operator_total_effort__level_low,2,0.0443595575773
0,20,prior_operator_total_estimated_time__level_high,2,0.025202162753
0,21,prior_operator_total_estimated_time__level_low,2,0.0443595575773
0,22,prior_reference_ratio__level_high,2,0.00634251424079
0,23,prior_reference_ratio__level_low,2,0.0443563211124
0,24,prior_service_ratio__level_high,2,0.0443563211124
0,25,prior_service_ratio__level_low,2,0.025262472844
0,26,prior_step_count__level_low,2,0.0443595575773
0,27,prior_step_count__level_mid,2,0.0251850108245
0,28,prior_symbol_ratio__level_high,2,0.0443563211124
0,29,prior_symbol_ratio__level_low,2,0.00634251424079
0,30,prior_total_nominal_time__level_high,2,0.025202162753
0,31,prior_total_nominal_time__level_low,2,0.0443595575773
1,0,prior_condition_mean_adjusted_attention__level_high,2,0.0101945414603
1,1,prior_condition_mean_adjusted_attention__level_low,2,0.0712809405121
1,2,prior_condition_total_adjusted_time__level_high,2,0.0409414935168
1,3,prior_condition_total_adjusted_time__level_low,2,0.0101945414603
1,4,prior_control_marker_ratio__level_high,2,0.0101973066199
1,5,prior_control_marker_ratio__level_low,2,0.0408575312678
1,6,prior_digit_ratio__level_high,2,0.0408575312678
1,7,prior_digit_ratio__level_low,2,0.0101973066199
1,8,prior_mean_complexity__level_low,2,0.0101945414603
1,9,prior_mean_complexity__level_mid,2,0.0409768323278
1,10,prior_mean_message_criticality__level_high,2,0.0408575312678
1,11,prior_mean_message_criticality__level_low,2,0.0101973066199
1,12,prior_message_length__level_low,2,0.0101945414603
1,13,prior_message_length__level_mid,2,0.0409768323278
1,14,prior_operator_final_fatigue__level_high,2,0.0712809405121
1,15,prior_operator_final_fatigue__level_low,2,0.0101945414603
1,16,prior_operator_mean_attention__level_high,2,0.0101945414603
1,17,prior_operator_mean_attention__level_low,2,0.0712809405121
1,18,prior_operator_total_effort__level_high,2,0.0712809405121
1,19,prior_operator_total_effort__level_low,2,0.0101945414603
1,20,prior_operator_total_estimated_time__level_high,2,0.0409414935168
1,21,prior_operator_total_estimated_time__level_low,2,0.0101945414603
1,22,prior_reference_ratio__level_high,2,0.0712809405121
1,23,prior_reference_ratio__level_low,2,0.0101973066199
1,24,prior_service_ratio__level_high,2,0.0101973066199
1,25,prior_service_ratio__level_low,2,0.0408575312678
1,26,prior_step_count__level_low,2,0.0101945414603
1,27,prior_step_count__level_mid,2,0.0409768323278
1,28,prior_symbol_ratio__level_high,2,0.0101973066199
1,29,prior_symbol_ratio__level_low,2,0.0712809405121
1,30,prior_total_nominal_time__level_high,2,0.0409414935168
1,31,prior_total_nominal_time__level_low,2,0.0101945414603
2,0,prior_condition_mean_adjusted_attention__level_high,2,0.0312253843746
2,1,prior_condition_mean_adjusted_attention__level_low,2,0.0312152594295
2,2,prior_condition_total_adjusted_time__level_high,2,0.0313287293699
2,3,prior_condition_total_adjusted_time__level_low,2,0.0312253843746
2,4,prior_control_marker_ratio__level_high,2,0.0312328313622
2,5,prior_control_marker_ratio__level_low,2,0.03128915505
2,6,prior_digit_ratio__level_high,2,0.03128915505
2,7,prior_digit_ratio__level_low,2,0.0312328313622
2,8,prior_mean_complexity__level_low,2,0.0312253843746
2,9,prior_mean_complexity__level_mid,2,0.0313049343982
2,10,prior_mean_message_criticality__level_high,2,0.03128915505
2,11,prior_mean_message_criticality__level_low,2,0.0312328313622
2,12,prior_message_length__level_low,2,0.0312253843746
2,13,prior_message_length__level_mid,2,0.0313049343982
2,14,prior_operator_final_fatigue__level_high,2,0.0312152594295
2,15,prior_operator_final_fatigue__level_low,2,0.0312253843746
2,16,prior_operator_mean_attention__level_high,2,0.0312253843746
2,17,prior_operator_mean_attention__level_low,2,0.0312152594295
2,18,prior_operator_total_effort__level_high,2,0.0312152594295
2,19,prior_operator_total_effort__level_low,2,0.0312253843746
2,20,prior_operator_total_estimated_time__level_high,2,0.0313287293699
2,21,prior_operator_total_estimated_time__level_low,2,0.0312253843746
2,22,prior_reference_ratio__level_high,2,0.0312152594295
2,23,prior_reference_ratio__level_low,2,0.0312328313622
2,24,prior_service_ratio__level_high,2,0.0312328313622
2,25,prior_service_ratio__level_low,2,0.03128915505
2,26,prior_step_count__level_low,2,0.0312253843746
2,27,prior_step_count__level_mid,2,0.0313049343982
2,28,prior_symbol_ratio__level_high,2,0.0312328313622
2,29,prior_symbol_ratio__level_low,2,0.0312152594295
2,30,prior_total_nominal_time__level_high,2,0.0313287293699
2,31,prior_total_nominal_time__level_low,2,0.0312253843746
