k,perplexity,mean_coherence,topic_diversity,normalized_coherence,normalized_inverse_perplexity,normalized_topic_diversity,selection_score,is_recommended,model_path,metrics_json_path,model_hash
3,58.4353117798,0.234268729129,0.866666666667,1,1,1,1,true,models\lda\k_selection\k_003\lda_prior.joblib,reports\chapter4\k_selection\k_003\topic_metrics.json,04af6811ebeaf6e25c1ab98f5a114fdd2b31848232290405f4e3ee4c9faa782e
4,63.94536198,0.197937852847,0.8,0.88014823009,0.751864459431,0.864406779661,0.832139823061,false,models\lda\k_selection\k_004\lda_prior.joblib,reports\chapter4\k_selection\k_004\topic_metrics.json,5b1652faea0a900520fc9e2a1d4844c21577d4b85dd79178c062bfd9bdc76293
5,67.6878872399,0.0467518533725,0.6,0.381401393334,0.606364603061,0.457627118644,0.481797705013,false,models\lda\k_selection\k_005\lda_prior.joblib,reports\chapter4\k_selection\k_005\topic_metrics.json,57010d6987e99af81cebae64125058b67b252f631d14192e97407a92a83706ba
6,75.2678125822,0.0787767549043,0.5,0.487048201848,0.356006006845,0.254237288136,0.365763832276,false,models\lda\k_selection\k_006\lda_prior.joblib,reports\chapter4\k_selection\k_006\topic_metrics.json,cf29a123e620dbe9606d75a61a1d53758b5e466fe910e532c5f9106e2b4dd7ee
7,89.5234092868,0.0945539399824,0.428571428571,0.53909548915,0,0.108958837772,0.216018108974,false,models\lda\k_selection\k_007\lda_prior.joblib,reports\chapter4\k_selection\k_007\topic_metrics.json,25e7073b58712e2ca2fc88535083b369d0817ec345e118d1e8e3226fe333c3e5
8,85.5011574716,-0.0688630169434,0.375,0,0.0884256951088,0,0.0294752317029,false,models\lda\k_selection\k_008\lda_prior.joblib,reports\chapter4\k_selection\k_008\topic_metrics.json,ea7b33a52e7459f70cc02dfa0fbd90dc58af6de4c35e5d67fc4e8934089aca20
