k,perplexity,mean_coherence,topic_diversity,normalized_coherence,normalized_inverse_perplexity,normalized_topic_diversity,selection_score,is_recommended,model_path,metrics_json_path,model_hash
3,94.8172548737,-0.529967020723,0.966666666667,1,1,1,1,true,models\lda\k_selection\k_003\lda_prior.joblib,reports\chapter4\k_selection\k_003\topic_metrics.json,56acc875f52035fe85ed70f08bf0be4c5625435a5598146093208eb2f2adf5c2
4,96.4318194695,-0.580563535561,0.925,0.480415096341,0.620469474131,0.705882352941,0.602255641138,false,models\lda\k_selection\k_004\lda_prior.joblib,reports\chapter4\k_selection\k_004\topic_metrics.json,7d98aa7b63fa22192a5eca056fc9e02f98aaa61a16098b6c89bb0e0dc0ece203
5,95.1878525491,-0.562361746405,0.88,0.66733261221,0.911746322773,0.388235294118,0.6557714097,false,models\lda\k_selection\k_005\lda_prior.joblib,reports\chapter4\k_selection\k_005\topic_metrics.json,c28c8ad501a400cbab770f7d422b517135fe2278e6fd76679b93950f3a9040d0
6,95.7341795554,-0.58734587029,0.916666666667,0.41076605534,0.782890767666,0.647058823529,0.613571882179,false,models\lda\k_selection\k_006\lda_prior.joblib,reports\chapter4\k_selection\k_006\topic_metrics.json,ca0e83136ef75c5de6abff3a7b2bdd3b728d5714d0b5dda1b4fc9d2598e1dea9
7,96.7338019357,-0.592490443718,0.9,0.357935485932,0.550889840901,0.529411764706,0.479412363846,false,models\lda\k_selection\k_007\lda_prior.joblib,reports\chapter4\k_selection\k_007\topic_metrics.json,074f579a8272ac01b92f6c963739b89787e6076ab1435c2f117a79b633e3ef3e
8,99.1931829798,-0.627345744551,0.825,0,0,0,0,false,models\lda\k_selection\k_008\lda_prior.joblib,reports\chapter4\k_selection\k_008\topic_metrics.json,e8bb166237c52ecdaf9b8f8d7fdd8c0160379a957cba9b694118495b9343270f
