run_id,scenario_id,prior_message_length,prior_mean_message_criticality,prior_symbol_ratio,prior_digit_ratio,prior_service_ratio,prior_step_count,prior_total_nominal_time,prior_mean_complexity,prior_reference_ratio,prior_control_marker_ratio,prior_operator_total_estimated_time,prior_operator_total_effort,prior_operator_mean_attention,prior_operator_final_fatigue,prior_operator_preparation_level,prior_operator_experience_level,prior_operator_control_skill,prior_condition_total_adjusted_time,prior_condition_mean_adjusted_attention,prior_condition_mean_environmental_load,prior_condition_mean_stability_index,prior_condition_time_pressure,prior_condition_noise_level,prior_condition_workload_level,prior_condition_instruction_access
1,A_TEST_FINAL,6.0,0.532067,0.666667,0.0,0.333333,6.0,8.4,0.5167,0.333333,0.333333,9.5916,3.305,0.724167,0.1075,0.75,0.65,0.7,10.390101,0.643784,0.185,0.9075,0.0,0.2,0.3,0.9
2,A_TEST_FINAL,11.0,0.604682,0.363636,0.363636,0.272727,11.0,16.0,0.5409,0.636364,0.272727,18.853538,6.574125,0.677727,0.1725,0.75,0.65,0.7,20.423095,0.602499,0.185,0.9075,0.0,0.2,0.3,0.9
